URL,Title,Price,Condition,Stitched,Occasion,Material,Brand,Work,Style,Season,Pattern,Sleeves,Color,Gender,Length,Work,Neck,Country of Origin,,,,,,,,,,,,,,,
https://www.ebay.com/itm/356410207309?itmmeta=01JW69BT2NSXS8C4F37GNVN4FV&hash=item52fbb42c4d:g:T3YAAOSwZoVnbWcC,Heavy Velvet Kurta Palazzo Set – Winter Collection for Women,US $49.19,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Velvet,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Palazzo & Dupatta,3/4 Sleeve,Wine,Women,Knee (39inch),Embroidery Sequence Work,Round Neck,India,https://i.ebayimg.com/images/g/T3YAAOSwZoVnbWcC/s-l1600.webp,https://i.ebayimg.com/images/g/t6QAAOSwMaBnbWcM/s-l1600.webp,https://i.ebayimg.com/images/g/XRsAAOSwqDxnbWcM/s-l1600.webp,https://i.ebayimg.com/images/g/xqgAAOSwjphnbWcL/s-l1600.webp,https://i.ebayimg.com/images/g/~8AAAOSwfeZm9Rxf/s-l1600.webp,,,,,,,,,,
https://www.ebay.com/itm/356519322166?itmmeta=01JW69BT2P3MBF9GXFD10DQXMR&hash=item5302352236:g:CAAAAOSwXeFnm71o,Pakistani Embroidered Kurta Palazzo Dupatta Set – 3-Piece Suit,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,Hand & Embroidery Work,V Neck,India,Aliya Cut Kurta With Pant & Dupatta,3/4 Sleeve,Purple,Women,Below The Knee (48inch),Salwar Kameez,"Winter , Summer And Spring",,https://i.ebayimg.com/images/g/CAAAAOSwXeFnm71o/s-l1600.webp,https://i.ebayimg.com/images/g/H0kAAOSw-QFnm71m/s-l1600.webp,https://i.ebayimg.com/images/g/kCwAAOSw4-Vnm71o/s-l1600.webp,https://i.ebayimg.com/images/g/Pq0AAOSwc99nm71p/s-l1600.webp,https://i.ebayimg.com/images/g/S~YAAOSwvXpnm71n/s-l1600.webp,https://i.ebayimg.com/images/g/HY8AAOSwbFVnm71p/s-l1600.webp,https://i.ebayimg.com/images/g/7Z4AAOSwtmplsS8H/s-l1600.webp,,,,,,,,
https://www.ebay.com/itm/356608632023?itmmeta=01JW68N2S2F78PBTC6E088H45J&hash=item530787e4d7:g:O5oAAOSwfBZnvgYp,Pink Palazzo Kurta Dupatta Set – Pakistani Salwar Kameez,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel , Puja",Cotton,Handmade,Embroidery Work,Salwar Kameez,"Winter , Summer And Spring",Short Flared Kurta With Palazzo & Dupatta,3/4 Sleeve,Pink,Women,Above The Knee,No,V Neck,India,https://i.ebayimg.com/images/g/O5oAAOSwfBZnvgYp/s-l1600.webp,https://i.ebayimg.com/images/g/58MAAOSwndZnvgYp/s-l1600.webp,https://i.ebayimg.com/images/g/ubsAAOSwC8ZnvgYo/s-l1600.webp,https://i.ebayimg.com/images/g/y4wAAOSwXyJnvgYq/s-l1600.webp,https://i.ebayimg.com/images/g/yWUAAOSwo0RnvgYq/s-l1600.webp,https://i.ebayimg.com/images/g/e-IAAOSwhsxnvgYp/s-l1600.webp,https://i.ebayimg.com/images/g/ZuYAAOSwgCVnvgYo/s-l1600.webp,https://i.ebayimg.com/images/g/r3cAAOSwieBnvgYo/s-l1600.webp,https://i.ebayimg.com/images/g/OpoAAOSwBWlnvgYr/s-l1600.webp,https://i.ebayimg.com/images/g/UuUAAOSwT-RnvgYn/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,
https://www.ebay.com/itm/356263141901?itmmeta=01JW68R8NYKBFDX5MEJ78WFZ6R&hash=item52f2f0220d:g:YaAAAOSwo-JnNy3z,Readymade Kurta Sharara Dupatta Set – Pakistani Salwar Kameez,US $56.57,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Georgette,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Sharara & Dupatta,3/4 Sleeve,Multi-Color,Women,Knee (47inch),Thread Sequence Work,Round Neck,India,https://i.ebayimg.com/images/g/YaAAAOSwo-JnNy3z/s-l1600.webp,https://i.ebayimg.com/images/g/l1cAAOSwAdhnNy3x/s-l1600.webp,https://i.ebayimg.com/images/g/-c0AAOSwZ6lnNy3w/s-l1600.webp,https://i.ebayimg.com/images/g/TEkAAOSwrSNnNy3u/s-l1600.webp,https://i.ebayimg.com/images/g/3iwAAOSwF81nNy3y/s-l1600.webp,https://i.ebayimg.com/images/g/sioAAOSwpSJnNy30/s-l1600.webp,https://i.ebayimg.com/images/g/rtMAAOSwIOtlsS0o/s-l1600.webp,,,,,,,,
https://www.ebay.com/itm/356781262154?itmmeta=01JW68N2S1V78HDVQMEZT7Q7KT&hash=item5311d2054a:g:72wAAOSwkvxn~hze,Wedding Kurta Palazzo Dupatta Set – Indian Designer Wear,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,Chikankari Embroidery Sequence Work,Round Neck,India,Straight Kurta With Pant & Dupatta,3/4 Sleeve,White,Women,Knee (45 inch),Salwar Kameez,"Winter , Summer And Spring",,https://i.ebayimg.com/images/g/72wAAOSwkvxn~hze/s-l1600.webp,https://i.ebayimg.com/images/g/5DgAAOSwxPRn~hzg/s-l1600.webp,https://i.ebayimg.com/images/g/LAsAAOSw-hxn~hzg/s-l1600.webp,https://i.ebayimg.com/images/g/0acAAOSwjaRn~hzg/s-l1600.webp,https://i.ebayimg.com/images/g/IJIAAOSwak1n~hzg/s-l1600.webp,https://i.ebayimg.com/images/g/7Z4AAOSwtmplsS8H/s-l1600.webp,,,,,,,,,
https://www.ebay.com/itm/356596099691?itmmeta=01JW68R8NSXCJVJWKT74CH0Q3D&hash=item5306c8aa6b:g:dvQAAOSw6~NnuIG7,Kurta Palazzo Dupatta Set – Wedding Eid Festival Salwar Suit,US $36.89,New with tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Anarkali Kurta With Pant & Dupatta,3/4 Sleeve,Multi-Color,Women,Below The Knee (50Inch),Sequence Katha Work,V Neck,India,https://i.ebayimg.com/images/g/dvQAAOSw6~NnuIG7/s-l1600.webp,https://i.ebayimg.com/images/g/akQAAOSw6TdnuIG6/s-l1600.webp,https://i.ebayimg.com/images/g/FbMAAOSwQzRnuIHA/s-l1600.webp,https://i.ebayimg.com/images/g/faYAAOSwU8dnuIHN/s-l1600.webp,https://i.ebayimg.com/images/g/2tYAAOSw-EdnuIHK/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,,,,
https://www.ebay.com/itm/356914489786?itmmeta=01JW69BT2RGYECPBNGZJKVHY9Q&hash=item5319c2e9ba:g:6kIAAOSwKihoKJWY,Blue Salwar Kameez – Women's Wedding Partywear 3-Piece Set,US $38.53,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel , Puja","Cotton, Silk Dupatta",Handmade,Printed Dupatta,Salwar Kameez,"Winter , Summer And Spring",Long Kurta With Palazzo & Dupatta,Sleeve Less,Blue,Women,Below The Knee,Yes,Round Neck,India,https://i.ebayimg.com/images/g/6kIAAOSwKihoKJWY/s-l1600.webp,https://i.ebayimg.com/images/g/eKIAAOSw0uBoKJWY/s-l1600.webp,https://i.ebayimg.com/images/g/wrYAAOSw-9BoKJWX/s-l1600.webp,https://i.ebayimg.com/images/g/dc8AAOSwD2xoKJWW/s-l1600.webp,https://i.ebayimg.com/images/g/kdAAAOSw3jNoKJWY/s-l1600.webp,https://i.ebayimg.com/images/g/loMAAOSwOvVoKJWZ/s-l1600.webp,https://i.ebayimg.com/images/g/0vMAAOSwHn5oKJWW/s-l1600.webp,https://i.ebayimg.com/images/g/~a4AAOSwcVloKJWW/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,
https://www.ebay.com/itm/356496465559?itmmeta=01JW68R8NV4T0JNC47P7MY7J3M&hash=item5300d85e97:g:KIEAAOSwHrBnkhrm,Eid Festival Kurta Palazzo Dupatta Set – Designer Kurti Pant,US $38.53,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel , Puja",Roman Silk,Handmade,Hand Work,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Pant & Dupatta,3/4 Sleeve,Purple,Women,Knee (45inch),No,Round Neck,India,https://i.ebayimg.com/images/g/KIEAAOSwHrBnkhrm/s-l1600.webp,https://i.ebayimg.com/images/g/vL8AAOSwhlxnkhro/s-l1600.webp,https://i.ebayimg.com/images/g/OAAAAOSwszVnkhrn/s-l1600.webp,https://i.ebayimg.com/images/g/fIEAAOSwnbtnkhrn/s-l1600.webp,https://i.ebayimg.com/images/g/kXwAAOSwmAVnkhrp/s-l1600.webp,https://i.ebayimg.com/images/g/QSsAAOSwjIVnkhro/s-l1600.webp,https://i.ebayimg.com/images/g/H3oAAOSwlb5nkhrk/s-l1600.webp,https://i.ebayimg.com/images/g/w~oAAOSwIvlnkhro/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,
https://www.ebay.com/itm/356410074119?itmmeta=01JW69BT2M26SQMYHMRM07TDY4&hash=item52fbb22407:g:P64AAOSw-WFnbVRW,Anarkali Kurta Pant Dupatta Set – Indian Wedding Combo Suit,US $37.71,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel , Puja",Cotton,Handmade,Adda and Embroidery Work,Salwar Kameez,"Winter , Summer And Spring",Anarkali Kurta With Pant & Dupatta,3/4 Sleeve,Red,Women,Below the Knee (46inch),No,V Neck,India,https://i.ebayimg.com/images/g/P64AAOSw-WFnbVRW/s-l1600.webp,https://i.ebayimg.com/images/g/EMAAAOSw5m1nbVRW/s-l1600.webp,https://i.ebayimg.com/images/g/iXoAAOSw-txnbVRW/s-l1600.webp,https://i.ebayimg.com/images/g/MPgAAOSwSWJnbVRW/s-l1600.webp,https://i.ebayimg.com/images/g/JlMAAOSwglVnbVRX/s-l1600.webp,https://i.ebayimg.com/images/g/k-EAAOSw3hRnbVRZ/s-l1600.webp,https://i.ebayimg.com/images/g/mPsAAOSw80RnbVRW/s-l1600.webp,https://i.ebayimg.com/images/g/JkcAAOSwaGpnbVRX/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,
https://www.ebay.com/itm/356499594922?itmmeta=01JW68N2S23F9P78ZN2XKSJ5TM&hash=item5301081eaa:g:ysMAAOSwTVRnk0-f,Red Bandhej Kurta Palazzo Dupatta Set – Handwork Salwar Kameez,US $38.53,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel , Puja","Cotton, Organza Dupatta",Handmade,Hand Work And Printed,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Pant & Dupatta,3/4 Sleeve,Red,Women,Knee,No,Round Neck,India,https://i.ebayimg.com/images/g/ysMAAOSwTVRnk0-f/s-l1600.webp,https://i.ebayimg.com/images/g/u-YAAOSworVnk0-d/s-l1600.webp,https://i.ebayimg.com/images/g/lcEAAOSwdV5nk0-f/s-l1600.webp,https://i.ebayimg.com/images/g/dZ4AAOSw52Rnk0-c/s-l1600.webp,https://i.ebayimg.com/images/g/2v4AAOSwAStnk0-e/s-l1600.webp,https://i.ebayimg.com/images/g/RLYAAOSwE1pnk0-Z/s-l1600.webp,https://i.ebayimg.com/images/g/KZ4AAOSw~Alnk0-f/s-l1600.webp,https://i.ebayimg.com/images/g/PgYAAOSwIS1nk0-b/s-l1600.webp,https://i.ebayimg.com/images/g/8RUAAOSw3bpnk0-b/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,
