*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,C:Style,C:Gender,C:Size,C:Material,C:Brand,C:Country/Region of Manufacture,C:MPN,C:Color,C:California Prop 65 Warning,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
,,,,,,Variation,Size=XXL,,,,,,,,,,,,,,,,,,32.79,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,155249,,Black Pakistani Palazzo Kurta Dupatta Set – Bollywood Style,,,Size=XS;S;M;L;XL;XXL,,1500,Salwar Kameez,Women,,Rayon,Handmade,India,,Black,,https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/4/cleanimg/1.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/4/cleanimg/2.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/4/cleanimg/3.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/4/cleanimg/4.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/4/cleanimg/5.webp,,,"Description:
Experience elegance and comfort with Black Pakistani Palazzo Kurta Dupatta Set – Bollywood Style, thoughtfully crafted for Wedding , Festival , Partywear , Travel. Designed in Rayon, this fully yes fully stitched outfit features a stunning straight kurta with palazzo & dupatta enhanced with no. The eye-catching black tones add a stylish flair, while the 3/4 sleeve and round neck design offer a perfect blend of tradition and modern aesthetics. Ideal for winter , summer and spring, this outfit is a must-have in every wardrobe. Proudly handmade in India, it reflects timeless craftsmanship and grace.

Details:
- Title: Black Pakistani Palazzo Kurta Dupatta Set – Bollywood Style
- Price: US $36.89
- Occasion: Wedding , Festival , Partywear , Travel
- Material: Rayon
- Brand: Handmade
- Style: Salwar Kameez
- Season: Winter , Summer And Spring
- Pattern: Straight Kurta With Palazzo & Dupatta
- Sleeves: 3/4 Sleeve
- Color: Black
- Gender: Women
- Length: Knee
- Work: No
- Neck: Round Neck
- Country of Origin: India",FixedPrice,10,,,,,,,,India,,USPSStandardPost,0.00,,,7,,,ReturnsAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XS,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=S,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=M,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=L,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XL,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XXL,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,155249,,Kurta Pant Dupatta Combo – Indian Wedding Ready Salwar Kameez,,,Size=XS;S;M;L;XL;XXL,,1500,Salwar Kameez,Women,,Rayon,Handmade,India,,Pink,,https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/1.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/2.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/3.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/4.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/5.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/6.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/5/cleanimg/7.webp,,,"Description:
Experience elegance and comfort with Kurta Pant Dupatta Combo – Indian Wedding Ready Salwar Kameez, thoughtfully crafted for Wedding , Festival , Partywear , Travel. Designed in Rayon, this fully yes fully stitched outfit features a stunning straight kurta with pant & dupatta enhanced with no. The eye-catching pink tones add a stylish flair, while the 3/4 sleeve and round neck design offer a perfect blend of tradition and modern aesthetics. Ideal for winter , summer and spring, this outfit is a must-have in every wardrobe. Proudly handmade in India, it reflects timeless craftsmanship and grace.

Details:
- Title: Kurta Pant Dupatta Combo – Indian Wedding Ready Salwar Kameez
- Price: US $36.89
- Occasion: Wedding , Festival , Partywear , Travel
- Material: Rayon
- Brand: Handmade
- Style: Salwar Kameez
- Season: Winter , Summer And Spring
- Pattern: Straight Kurta With Pant & Dupatta
- Sleeves: 3/4 Sleeve
- Color: Pink
- Gender: Women
- Length: Knee
- Work: No
- Neck: Round Neck
- Country of Origin: India",FixedPrice,10,,,,,,,,India,,USPSStandardPost,0.00,,,7,,,ReturnsAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XS,,,,,,,,,,,,,,,,,,36.89,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
